Model,CV_MAE,CV_RMSE,CV_RMSE_std,CV_R2
Mean Baseline,10.32921965439365,16.247183238602183,0.4078228562851886,-4.577308395896651e-05
Linear Regression,1.9908195088453549,5.290647928791803,0.22699680047260234,0.893983162816518
Ridge,1.9907932879471055,5.290647330790538,0.22700976319444438,0.8939831960505608
Random Forest,1.3287112824403549,4.43136094871919,0.13142706508579077,0.9255767988772297
HistGradientBoosting,1.3418185977589627,4.51540057269689,0.18015662852252662,0.9226928687003417
Tuned HistGradientBoosting,1.342694527637247,4.514471725200917,0.18330924719040403,0.9227257701151188
